_id,Fecha,ID region,Region,Mercado,Subsector,Producto,Variedad / Tipo,Calidad,Unidad de comercializacion,Origen,Volumen,Precio minimo,Precio maximo,Precio promedio
1,2026-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,$/docena de atados (6 kilos),Provincia de Quillota,65,"4000,0000","4000,0000","4000,0000"
2,2026-01-02,4,Región de Coquimbo,Terminal La Palmera de La Serena,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,"$/atado 1,5 a 2 kilos",Provincia del Elquí,840,"500,0000","600,0000","550,0000"
3,2026-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,$/docena de atados,Región Metropolitana,150,"17000,0000","18000,0000","17666,6666"
4,2026-01-02,16,Región de Ñuble,Terminal Hortofrutícola Agro Chillán,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,"$/atado 0,5 a 1 kilo",Región de Ñuble,140,"550,0000","600,0000","571,4285"
5,2026-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Achicoria,Sin especificar,Primera,$/caja 16 unidades,Provincia de Quillota,40,"6500,0000","6500,0000","6500,0000"
6,2026-01-02,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Ají,Americana (o),Primera,$/caja 25 kilos,Región de O'Higgins,52,"16000,0000","18000,0000","17000,0000"
7,2026-01-02,4,Región de Coquimbo,Terminal La Palmera de La Serena,Hortalizas y tubérculos,Ají,Inferno,Primera,$/caja 15 kilos,Provincia de Limarí,300,"25000,0000","26000,0000","25500,0000"
8,2026-01-02,4,Región de Coquimbo,Terminal La Palmera de La Serena,Hortalizas y tubérculos,Ají,Inferno,Segunda,$/caja 15 kilos,Provincia de Limarí,200,"19000,0000","20000,0000","19500,0000"
9,2026-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Ají,Inferno,Primera,$/caja 15 kilos,Provincia de Quillota,45,"30000,0000","31000,0000","30222,2222"
10,2026-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ají,Americana (o),Primera,$/saco 25 kilos,Región Metropolitana,145,"18000,0000","20000,0000","19379,3103"
11,2026-01-02,9,Región de La Araucanía,Vega Modelo de Temuco,Hortalizas y tubérculos,Ají,Inferno,Segunda,$/caja 10 kilos,Región de Arica y Parinacota,40,"16000,0000","16000,0000","16000,0000"
12,2026-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ajo,Chino,Primera,$/caja 10 kilos,China,600,"13500,0000","13500,0000","13500,0000"
13,2026-01-02,16,Región de Ñuble,Terminal Hortofrutícola Agro Chillán,Hortalizas y tubérculos,Ajo,Chino,Primera,$/caja 10 kilos,China,80,"16000,0000","16000,0000","16000,0000"
14,2026-01-02,8,Región del Biobío,Vega Monumental Concepción,Hortalizas y tubérculos,Ajo,Chino,Primera,$/caja 10 kilos,China,100,"15000,0000","15000,0000","15000,0000"
15,2026-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Ajo,Chino,Primera,$/caja 10 kilos,China,45,"14000,0000","14000,0000","14000,0000"
16,2026-01-02,4,Región de Coquimbo,Terminal La Palmera de La Serena,Hortalizas y tubérculos,Ajo,Chino,Primera,$/caja 10 kilos,China,400,"17000,0000","18000,0000","17500,0000"
17,2026-01-02,9,Región de La Araucanía,Vega Modelo de Temuco,Hortalizas y tubérculos,Ajo,Chino,Primera,$/caja 10 kilos,China,100,"18000,0000","18000,0000","18000,0000"
18,2026-01-02,9,Región de La Araucanía,Vega Modelo de Temuco,Hortalizas y tubérculos,Ajo,Chino,Extra,$/malla 10 kilos,China,50,"26000,0000","26000,0000","26000,0000"
